line_code	env_code	FTdap	FTgdd
Line128	TS_07	86	2088.4275
Line128	TS_08E	110.5	1859.175
Line128	TS_08L	71.5	2129.175
Line128	TS_09	92	2074.455
Line129	FU_08	75	2272.185
Line129	HA_08	61	2146.725
Line129	ISA_08	92.5	1797.8625
Line129	ISI_08	60.5	2152.89
Line129	TH_08	61.5	2171.43
Line129	TS_07	85.5	2053.8225
Line129	TS_08E	111	1893.015
Line129	TS_08L	67.5	2009.25
Line129	TS_09	95.5	2165.5125
Line13	FU_08	75	2272.185
Line13	HA_08	66.5	2335.05
Line13	ISA_08	101	2094.21
Line13	ISI_08	65	2331.585
Line13	TH_08	NA	NA
Line13	TS_07	88	2160.4275
Line13	TS_08E	118.5	2128.185
Line13	TS_08L	69.5	2069.01
Line13	TS_09	101.5	2339.6175
Line130	FU_08	94	2818.86
Line130	HA_08	66	2335.05
Line130	ISA_08	117	2638.305
Line130	ISI_08	69	2473.02
Line130	TH_08	65	2307.465
Line130	TS_07	102.5	2664.3375
Line130	TS_08E	138	2818.4175
Line130	TS_08L	84.5	2517.6375
Line130	TS_09	114	2746.98
Line131	FU_08	90	2700.18
Line131	HA_08	70.5	2478.87
Line131	ISA_08	120	2721.51
Line131	ISI_08	70	2506.68
Line131	TH_08	73.5	2561.49
Line131	TS_07	102	2664.3375
Line131	TS_08E	141.5	2913.7725
Line131	TS_08L	82	2458.6425
Line131	TS_09	119	2906.01
Line132	FU_08	85.5	2566.2
Line132	HA_08	67	2372.67
Line132	ISA_08	114	2539.575
Line132	ISI_08	66.5	2366.685
Line132	TH_08	68	2400.885
Line132	TS_07	100.5	2598.39
Line132	TS_08E	133.5	2640.5325
Line132	TS_08L	77.5	2319.0075
Line132	TS_09	113	2715.435
Line133	FU_08	91	2732.34
Line133	HA_08	74.5	2617.56
Line133	ISA_08	105.5	2230.155
Line133	ISI_08	77.5	2744.73
Line133	TH_08	73	2561.49
Line133	TS_07	94.5	2384.2575
Line133	TS_08E	121.5	2229.5475
Line133	TS_08L	80	2405.8575
Line133	TS_09	102.5	2373.84
Line134	FU_08	87	2612.34
Line134	HA_08	68.5	2412.54
Line134	ISA_08	111	2431.35
Line134	ISI_08	69.5	2473.02
Line134	TH_08	68.5	2400.885
Line134	TS_07	96.5	2463.705
Line134	TS_08E	129.5	2499.975
Line134	TS_08L	76	2289.0825
Line134	TS_09	108.5	2560.545
Line135	FU_08	79	2400.405
Line135	HA_08	65	2297.925
Line135	ISA_08	95.5	1906.83
Line135	ISI_08	69.5	2473.02
Line135	TH_08	63	2238.21
Line135	TS_07	88	2160.4275
Line135	TS_08E	113.5	1955.655
Line135	TS_08L	76	2289.0825
Line135	TS_09	92	2074.455
Line136	FU_08	95.5	2849.01
Line136	HA_08	64.5	2261.385
Line136	ISA_08	117.5	2638.305
Line136	ISI_08	66	2366.685
Line136	TH_08	64.5	2272.32
Line136	TS_07	104	2730.1275
Line136	TS_08E	134.5	2673.2925
Line136	TS_08L	83.5	2488.7475
Line136	TS_09	118.5	2876.9175
Line137	FU_08	85.5	2566.2
Line137	HA_08	63.5	2223.855
Line137	ISA_08	111	2431.35
Line137	ISI_08	66	2366.685
Line137	TH_08	64.5	2272.32
Line137	TS_07	99	2561.85
Line137	TS_08E	129.5	2499.975
Line137	TS_08L	76	2289.0825
Line137	TS_09	111.5	2654.64
Line138	FU_08	102	3053.58
Line138	HA_08	74	2617.56
Line138	ISA_08	132.5	3033.81
Line138	ISI_08	71.5	2539.17
Line138	TH_08	71.5	2495.295
Line138	TS_07	115.5	3057.4125
Line138	TS_08E	154	3270.3975
Line138	TS_08L	89.5	2644.6275
Line138	TS_09	132.5	3247.515
Line139	FU_08	106	3165.105
Line139	HA_08	76	2688.885
Line139	ISA_08	131.5	3004.515
Line139	ISI_08	75.5	2675.07
Line139	TH_08	NA	NA
Line139	TS_07	116	3088.2825
Line139	TS_08E	151	3181.0725
Line139	TS_08L	93.5	2739.2625
Line139	TS_09	126	3098.52
Line14	FU_08	88	2639.64
Line14	HA_08	64	2261.385
Line14	ISA_08	117	2638.305
Line14	ISI_08	67	2401.065
Line14	TH_08	61	2171.43
Line14	TS_07	98	2524.725
Line14	TS_08E	130.5	2536.785
Line14	TS_08L	77.5	2319.0075
Line14	TS_09	114	2746.98
Line140	FU_08	106.5	3165.105
Line140	HA_08	73	2581.695
Line140	ISA_08	138.5	3205.98
Line140	ISI_08	75	2675.07
Line140	TH_08	70.5	2462.085
Line140	TS_07	120.5	3213.8775
Line140	TS_08E	155.5	3300.9975
Line140	TS_08L	92	2715.2775
Line140	TS_09	138.5	3393.5625
Line141	FU_08	105	3136.125
Line141	HA_08	66	2335.05
Line141	ISA_08	120.5	2721.51
Line141	ISI_08	91.5	3194.19
Line141	TH_08	90.5	3151.395
Line141	TS_07	107.5	2832.21
Line141	TS_08E	133	2640.5325
Line141	TS_08L	97	2836.35
Line141	TS_09	116	2812.635
Line142	FU_08	91.5	2732.34
Line142	HA_08	66	2335.05
