Loc	Rep	Entry	FT
TS_07	1	Line21	83
TS_09	1	Line21	93
ISA_08	1	Line21	94
TS_08E	1	Line21	114
TH_08	2	Line21	80
HA_08	2	Line21	NA
ISI_08	2	Line21	84
TS_08L	2	Line21	75
FU_08	2	Line21	79
TS_07	2	Line21	85
TS_09	2	Line21	92
ISA_08	2	Line21	93
TS_08E	2	Line21	113
TH_08	1	Line22	66
HA_08	1	Line22	68
ISI_08	1	Line22	69
TS_08L	1	Line22	63
FU_08	1	Line22	71
TS_07	1	Line22	77
TS_09	1	Line22	82
ISA_08	1	Line22	87
TS_08E	1	Line22	105
TH_08	2	Line22	66
HA_08	2	Line22	68
ISI_08	2	Line22	68
TS_08L	2	Line22	63
FU_08	2	Line22	70
TS_07	2	Line22	77
TS_09	2	Line22	82
ISA_08	2	Line22	86
TS_08E	2	Line22	105
TH_08	1	Line23	NA
HA_08	1	Line23	76
ISI_08	1	Line23	77
TS_08L	1	Line23	73
FU_08	1	Line23	78
TS_07	1	Line23	81
TS_09	1	Line23	85
ISA_08	1	Line23	88
TS_08E	1	Line23	106
TH_08	2	Line23	NA
HA_08	2	Line23	75
ISI_08	2	Line23	79
TS_08L	2	Line23	73
FU_08	2	Line23	78
TS_07	2	Line23	82
TS_09	2	Line23	86
ISA_08	2	Line23	87
TS_08E	2	Line23	106
TH_08	1	Line24	79
HA_08	1	Line24	77
ISI_08	1	Line24	75
TS_08L	1	Line24	66
FU_08	1	Line24	71
TS_07	1	Line24	80
TS_09	1	Line24	83
ISA_08	1	Line24	87
TS_08E	1	Line24	104
TH_08	2	Line24	79
HA_08	2	Line24	79
ISI_08	2	Line24	75
TS_08L	2	Line24	68
FU_08	2	Line24	72
TS_07	2	Line24	80
TS_09	2	Line24	84
ISA_08	2	Line24	84
TS_08E	2	Line24	100
TH_08	1	Line25	76
HA_08	1	Line25	77
ISI_08	1	Line25	77
TS_08L	1	Line25	70
FU_08	1	Line25	70
TS_07	1	Line25	82
TS_09	1	Line25	88
ISA_08	1	Line25	91
TS_08E	1	Line25	113
TH_08	2	Line25	76
HA_08	2	Line25	78
ISI_08	2	Line25	81
TS_08L	2	Line25	72
FU_08	2	Line25	72
TS_07	2	Line25	81
TS_09	2	Line25	91
ISA_08	2	Line25	90
TS_08E	2	Line25	107
TH_08	1	Line26	67
HA_08	1	Line26	69
ISI_08	1	Line26	67
TS_08L	1	Line26	62
FU_08	1	Line26	67
TS_07	1	Line26	75
TS_09	1	Line26	79
ISA_08	1	Line26	84
TS_08E	1	Line26	100
TH_08	2	Line26	67
HA_08	2	Line26	69
ISI_08	2	Line26	67
TS_08L	2	Line26	62
FU_08	2	Line26	67
TS_07	2	Line26	76
TS_09	2	Line26	79
ISA_08	2	Line26	83
TS_08E	2	Line26	99
TH_08	1	Line27	72
HA_08	1	Line27	73
ISI_08	1	Line27	75
TS_08L	1	Line27	69
FU_08	1	Line27	74
TS_07	1	Line27	82
TS_09	1	Line27	88
ISA_08	1	Line27	91
TS_08E	1	Line27	110
TH_08	2	Line27	79
HA_08	2	Line27	73
ISI_08	2	Line27	74
TS_08L	2	Line27	70
FU_08	2	Line27	74
TS_07	2	Line27	83
TS_09	2	Line27	88
ISA_08	2	Line27	91
TS_08E	2	Line27	107
TH_08	1	Line28	69
HA_08	1	Line28	71
ISI_08	1	Line28	72
TS_08L	1	Line28	72
FU_08	1	Line28	79
TS_07	1	Line28	83
TS_09	1	Line28	89
ISA_08	1	Line28	90
TS_08E	1	Line28	104
TH_08	2	Line28	68
HA_08	2	Line28	70
ISI_08	2	Line28	70
TS_08L	2	Line28	74
FU_08	2	Line28	79
TS_07	2	Line28	84
TS_09	2	Line28	89
ISA_08	2	Line28	90
TS_08E	2	Line28	104
TH_08	1	Line29	67
HA_08	1	Line29	70
ISI_08	1	Line29	72
TS_08L	1	Line29	65
FU_08	1	Line29	70
TS_07	1	Line29	83
TS_09	1	Line29	86
ISA_08	1	Line29	89
TS_08E	1	Line29	107
TH_08	2	Line29	67
HA_08	2	Line29	70
ISI_08	2	Line29	71
TS_08L	2	Line29	66
FU_08	2	Line29	68
TS_07	2	Line29	84
TS_09	2	Line29	86
ISA_08	2	Line29	89
TS_08E	2	Line29	104
TH_08	1	Line30	73
HA_08	1	Line30	74
ISI_08	1	Line30	72
