line_code	env_code	DTA	PH	YLD
G2F_99	DEH1_15	59.7141666169858	224.151604927547	155.179534935778
G2F_100	DEH1_15	61.0981705942185	226.02187562342	172.762565396585
G2F_101	DEH1_15	58.5426188779465	239.155962537455	137.512683058985
G2F_102	DEH1_15	61.4282260975042	246.777750926626	180.720670130731
G2F_103	DEH1_15	61.3121441083792	226.789101083006	157.356435218396
G2F_104	DEH1_15	62.5519481236104	262.045047343101	148.678547956519
G2F_1	ILH1_15	69.5182366250949	279.349584986808	175.100701768412
G2F_4	ILH1_15	70.5228060625683	245.734596217056	118.754258820657
G2F_5	ILH1_15	68.9542016972346	232.187417399982	112.327747838649
G2F_6	ILH1_15	70.5283202026578	260.560256298977	143.63797780318
G2F_7	ILH1_15	70.5156764863001	264.788027086294	144.505083818108
G2F_8	ILH1_15	68.5500247608267	249.062105942305	146.762066416811
G2F_9	ILH1_15	69.003975004834	267.017594271056	190.350188291782
G2F_10	ILH1_15	70.5283202026578	240.560256298977	164.7735990943
G2F_11	ILH1_15	68.9995680513649	238.148630917889	191.308783901491
G2F_12	ILH1_15	69.980852369806	252.085038666437	136.631320970859
G2F_13	ILH1_15	72.4951419446047	265.125416303133	195.193221729638
G2F_14	ILH1_15	64.5122006111596	255.274204024575	187.814376704055
G2F_15	ILH1_15	60.4182208533371	206.421659930498	118.031250180588
G2F_16	ILH1_15	60.0292978004439	236.167193532429	139.291968918876
G2F_105	ILH1_15	60.0419421381744	212.355719297841	165.710035612104
G2F_106	ILH1_15	59.5518164487405	209.780644958231	121.048636593163
G2F_18	ILH1_15	60.0221286968668	201.94842786725	57.6410248846936
G2F_19	ILH1_15	68.9692580758459	251.462623989655	174.437336499764
G2F_20	ILH1_15	66.4983976272203	253.153028584601	148.008752448343
G2F_21	ILH1_15	69.4523800954352	275.801447268579	202.585315655686
G2F_23	ILH1_15	64.4029197848461	228.582305707299	137.004350497352
G2F_24	ILH1_15	69.0085444423129	275.902605501286	152.236243342311
G2F_25	ILH1_15	65.3565869457287	194.594189841733	127.407315055715
G2F_26	ILH1_15	70.5029690269561	279.835836690401	188.134755835065
G2F_27	ILH1_15	64.5745654727137	230.425367508215	145.874183214155
G2F_28	ILH1_15	68.5888295606883	253.196210678232	164.787732693741
G2F_29	ILH1_15	68.9958746727672	240.889258192766	195.609610948686
G2F_30	ILH1_15	63.5051316147375	214.315426945414	104.20763336047
G2F_32	ILH1_15	69.4680808109603	236.525267847865	177.077611242208
G2F_33	ILH1_15	70.501202428131	259.931776605442	153.885245206848
G2F_34	ILH1_15	64.9919175171194	246.72895380629	163.042632714338
G2F_35	ILH1_15	68.4990749929219	264.439196934407	180.013428012312
G2F_36	ILH1_15	73.0134727840744	268.113407388397	150.9416402811
G2F_37	ILH1_15	66.9308592802331	231.954808393574	166.330446287442
G2F_38	ILH1_15	67.9798378294766	222.341769390744	142.840393865101
G2F_39	ILH1_15	64.4949929414116	219.243028900984	184.527976253875
G2F_40	ILH1_15	62.5809152493928	204.875601905281	149.011606413903
G2F_41	ILH1_15	62.5818778104071	234.168564554793	164.806844119272
G2F_42	ILH1_15	65.5809152493928	214.875601905281	170.007305473483
G2F_43	ILH1_15	64.4949929414116	219.243028900984	126.312963603595
G2F_44	ILH1_15	63.4346573152778	212.752282231808	148.38991217904
G2F_107	ILH1_15	66.5745654727137	245.425367508215	149.543722639915
G2F_108	ILH1_15	65.6030887132246	240.089348939755	161.320200362857
G2F_47	ILH1_15	67.4029197848461	243.582305707299	174.648691016962
G2F_49	ILH1_15	65.5818778104071	249.168564554793	179.659641600012
G2F_50	ILH1_15	66.5809152493928	244.875601905281	155.723665340603
G2F_109	ILH1_15	63.4333845369542	223.609821033897	128.535795644949
G2F_110	ILH1_15	64.4333845369542	218.609821033897	137.804328426169
G2F_111	ILH1_15	65.4182208533371	236.421659930498	148.457497236858
