env_code	pop_code	ril_code	Prd_trait_mean	Prd_trait_kPara	Obs_trait	Line_mean
NEH4_15	1	G2F_16	231.502	226.78	229.593787117114	229.054062425131
OHH1_15	1	G2F_16	229.864	234.046	228.572270354745	229.199993391184
ONH1_15	1	G2F_16	230.348	221.267	255.00734846505	225.42355366114
ONH2_15	1	G2F_16	271.973	285.404	238.229244476072	227.820425659566
DEH1_15	1	G2F_17	222.787	224.082	201.828413924732	226.888016437572
MNH1_15	1	G2F_17	212.407	221.208	210.499980901006	224.720124693504
NEH4_15	1	G2F_17	220.975	221.46	212.531833364229	224.212161577698
ONH1_15	1	G2F_17	214.405	208.104	250.003623910089	214.844213941233
ONH2_15	1	G2F_17	282.992	302.251	234.516627574965	218.715963025014
DEH1_15	1	G2F_18	207.469	198.431	204.536644748428	206.372289563768
ILH1_15	1	G2F_18	206.991	206.96	201.94842786725	206.742034832508
INH1_15	1	G2F_18	169.44	195.291	168.949976024242	211.456099381509
MNH1_15	1	G2F_18	196.777	199.888	202.000133723482	206.734648281617
NEH4_15	1	G2F_18	212.112	204.585	189.129988987233	208.573240386796
OHH1_15	1	G2F_18	206.947	214.793	207.076085144894	206.009512364273
ONH1_15	1	G2F_18	208.735	194.43	237.5155063435	201.661023621615
ONH2_15	1	G2F_18	242.644	250.703	237.985908855774	201.593823262718
DEH1_15	1	G2F_19	245.076	239.409	251.589325822157	244.449542574896
ILH1_15	1	G2F_19	244.61	244.599	251.462623989655	244.467642836682
INH1_15	1	G2F_19	222.815	237.758	224.812862967386	248.274751554149
MNH1_15	1	G2F_19	240.952	242.476	237.499785092754	246.462334107668
NEH4_15	1	G2F_19	248.086	243.622	240.202361977253	246.076251695597
OHH1_15	1	G2F_19	246.36	251.282	241.992702590531	245.820488750843
ONH1_15	1	G2F_19	249.035	240.649	249.999096965306	244.676718125875
ONH2_15	1	G2F_19	264.311	269.763	265.177364441389	242.50839420072
DEH1_15	1	G2F_2	202.467	194.51	201.858295699335	201.122856767814
INH1_15	1	G2F_2	187.843	199.706	167.201861214621	208.054143664756
MNH1_15	1	G2F_2	191.01	192.649	213.174688044308	198.859578298819
OHH1_15	1	G2F_2	204.421	209.703	191.517890841876	203.190937739305
ONH1_15	1	G2F_2	205.862	193.782	210.010759539714	199.492363999738
ONH2_15	1	G2F_2	232.229	234.101	223.709084198549	196.752699067971
DEH1_15	1	G2F_20	247.176	239.25	241.86851063577	246.496448078882
ILH1_15	1	G2F_20	245.038	245.086	253.153028584601	244.884374086192
INH1_15	1	G2F_20	214.118	226.867	228.006172102762	248.476782155026
MNH1_15	1	G2F_20	240.375	240.156	242.000337409024	246.477615682703
NEH4_15	1	G2F_20	247.584	241.592	249.131862133405	245.458826436363
OHH1_15	1	G2F_20	245.804	253.172	250.760313747288	245.226190491523
ONH1_15	1	G2F_20	254.182	243.391	224.993776186976	248.90712442871
ONH2_15	1	G2F_20	253.482	279.01	277.429646388121	241.416285828547
DEH1_15	1	G2F_21	282.388	276.225	271.38848755812	281.490717676925
ILH1_15	1	G2F_21	281.297	280.321	275.801447268579	280.755224391848
INH1_15	1	G2F_21	255.349	264.159	271.646504039132	281.447714930089
MNH1_15	1	G2F_21	276.958	275.566	277.500012660821	280.472130159808
NEH4_15	1	G2F_21	283.201	278.212	272.531833364229	281.300160042573
OHH1_15	1	G2F_21	279.129	282.886	290.358154811894	278.329106467962
ONH2_15	1	G2F_21	282.291	299.56	301.106353916893	276.537739950463
DEH1_15	1	G2F_22	244.496	238.324	260.02187562342	240.205991911331
INH1_15	1	G2F_22	248.402	222.043	222.036060233342	247.803154989347
MNH1_15	1	G2F_22	242.72	244.503	236.999692681439	244.810428499727
NEH4_15	1	G2F_22	249.313	246.608	247.382464973681	242.733874041279
OHH1_15	1	G2F_22	243.275	260.945	264.612874745172	239.287792086981
