line_code	INH1_15	MNH1_15	ILH1_15	OHH1_15	DEH1_15	NEH4_15	ONH1_15	ONH2_15
G2F_6	234.086977032613	265.499995230785	260.560256298977	279.760564519984	266.763822453115	265.280725742656	215.018101175417	297.443838777526
G2F_60	NA	NA	244.835836690401	249.904607164318	251.723533417893	240.618575160501	249.924169560572	NA
G2F_61	195.839653466618	198.174789784496	222.752282231809	209.561926206545	216.584426354391	220.804926701079	NA	NA
G2F_62	220.36442271766	214.175257808727	228.582305707299	204.162132626252	225.584426354391	241.739829637732	239.999299794331	NA
G2F_63	220.458300368479	221.174789784496	242.059315403133	245.485514778533	255.526639975047	249.489686026351	249.998434051712	263.136657251201
G2F_64	216.059578070404	228.174497003738	NA	222.561926206545	223.834453615198	NA	NA	240.877036800807
G2F_65	199.39003369556	205.174369508434	NA	233.096241536322	218.904628982264	NA	NA	233.182559122844
G2F_66	195.726974796097	NA	239.503836607757	235.4335889108	236.778993516545	234.440673658303	224.985279449602	273.402704124275
G2F_67	206.56181003814	215.825588952285	219.875601905281	NA	233.155962537455	231.512473862717	NA	NA
G2F_68	188.059578070404	NA	NA	242.358154811893	228.02187562342	NA	229.985734831254	232.989561736112
G2F_69	230.646504039132	238.174789784496	248.609821033897	248.076085144894	257.175082643279	241.556453537043	NA	NA
G2F_7	238.283141966141	245.999746878126	264.788027086294	249.403026159559	266.727911659852	265.373901512945	252.515857859084	282.56359694695
G2F_70	227.036060233342	250.825025411614	246.379843494357	251.904607164318	242.828413924732	242.508940373539	NA	NA
G2F_71	NA	215.174793109127	240.801447268579	233.919700048411	218.723533417893	221.739829637732	NA	259.755900324552
G2F_72	NA	238.825907490226	228.582305707299	236.904607164318	219.902567656343	241.512473862717	NA	258.755900324552
G2F_73	189.56181003814	231.824996752514	233.609821033897	252.162132626252	241.625928420821	255.306740146066	270.009499698077	273.060367825138
G2F_74	215.338142010345	249.174353748741	252.752282231809	271.760564519984	243.553150850647	242.508940373539	250.000454150344	280.335671032978
G2F_75	187.780963798536	198.499920476313	240.560256298977	232.803254004996	220.396213924041	259.27387772413	252.509622131102	271.429646388121
G2F_76	202.745877591416	NA	236.313942068545	234.428403028153	241.986456956256	260.393648958764	257.48755250092	256.009425413632
G2F_77	197.775029551923	227.499777212907	234.901642599981	229.046174535821	229.103243484977	234.887623009411	245.021496545547	262.731535974706
G2F_78	225.614843581089	234.999851943736	242.791046113405	243.745265847104	245.462221639882	240.264919236469	259.992638723354	261.238460090242
G2F_79	220.061746983519	NA	268.889192794345	233.076085144894	254.709945942397	259.957149168955	257.51357840155	271.310410165368
G2F_8	237.338142010344	241.825315277107	249.062105942305	269.760564519984	253.902567656343	258.278357543988	254.986855911278	285.156036176757
G2F_80	194.063915896633	NA	NA	227.561926206545	210.902567656343	232.531833364229	240.031261567824	248.402704124275
G2F_81	227.334761158222	263.49989493082	254.460105152478	268.598580281399	242.808757503869	260.06247683186	262.50362160349	298.524964780625
G2F_82	229.853041054768	266.000582649476	263.807506794745	262.814663007413	289.256317250449	269.942876324812	257.475436106664	285.876264889909
G2F_83	214.895290498114	NA	260.425367508215	233.612874745172	234.904628982265	NA	255.021512988923	278.136657251201
G2F_84	216.31152740321	249.99953675086	250.680851783778	236.587880694696	252.002771508487	256.477468444128	230.031261567824	278.877036800807
G2F_85	223.051854120433	NA	244.834198204599	244.296643970364	234.840160329289	245.653117543667	NA	256.982255975435
G2F_86	209.467661101823	NA	NA	NA	223.095894304186	230.761867796437	225.018548974445	266.394690794628
G2F_87	193.059578070404	203.173933462401	230.425367508215	237.224840661078	226.031404326675	200.182077338908	269.924169560572	253.229244476072
G2F_88	266.839653466618	245.174856624346	NA	266.78780946945	279.621369704506	239.981620430478	249.999299794331	276.755900324552
G2F_89	226.059578070404	NA	264.243028900984	255.467193388574	261.14724731764	259.942876324812	NA	282.182559122844
G2F_9	218.102038092139	232.500303989099	267.017594271056	263.406838837687	260.499230980265	255.967788693372	249.993775599518	291.691296167641
G2F_90	217.839653466618	229.174793109127	235.560256298977	224.295786833498	244.584426354391	211.556453537043	254.998434051712	246.876264889909
